term,fee,gender,job,package,age,family,payment,income_log,isna_job,married_1,married_2,married_3
22,120000.96,0,0,1,37,3,1,12.429204196772384,False,True,False,False
17,1835727.72,0,0,0,44,2,1,14.880218881160685,False,True,False,False
12,100000.0,1,0,1,41,2,0,12.429204196772384,False,True,False,False
49,300000.0,1,0,1,40,1,2,13.458831328302072,False,True,False,False
12,100000.0,1,0,1,38,1,3,12.206097645217678,False,True,False,False
29,120000.0,1,5,1,66,2,1,13.208096151615411,False,True,False,False
12,100000.0,1,0,1,59,2,3,12.611541086966115,False,True,False,False
60,100003.15,1,1,0,48,1,0,13.304686600863562,False,True,False,False
12,100000.0,1,0,1,29,3,0,12.611541086966115,False,True,False,False
12,500000.0,1,5,1,71,2,3,13.208096151615411,False,True,False,False
28,120000.0,1,5,1,67,3,1,13.208096151615411,False,True,False,False
12,150000.0,1,0,1,51,0,0,14.10319258678548,False,True,False,False
52,100000.0,1,0,1,43,2,0,13.710151153416941,False,True,False,False
85,283999.58,0,0,0,48,0,0,13.592358256611783,False,True,False,False
22,100000.0,1,0,1,39,1,0,13.017005083966255,False,True,False,False
33,399883.08,1,0,1,42,3,1,13.859524572563531,False,True,False,False
12,100000.0,1,0,1,62,2,0,15.201804169083884,False,True,False,False
17,180400.95,1,0,0,39,0,0,13.78566662507685,False,True,False,False
17,250000.6,1,0,0,30,3,0,14.322326353102177,False,True,False,False
17,100000.0,0,0,1,41,2,0,13.122373377354329,False,True,False,False
17,100000.0,0,0,1,42,1,0,13.122373377354329,False,True,False,False
12,240000.0,1,1,1,29,1,0,12.765668433265594,False,True,False,False
12,125000.0,1,0,1,44,1,0,12.765668433265594,False,True,False,False
49,136999.97,1,0,0,55,1,0,12.899212326061994,False,True,False,False
17,105153.96,1,5,0,71,3,1,13.208096151615411,False,True,False,False
32,120000.96,1,0,1,52,3,1,13.399996629152975,False,True,False,False
22,100000.0,1,0,1,64,0,3,14.10319258678548,False,True,False,False
48,100000.0,1,0,1,46,1,3,12.611541086966115,False,True,False,False
17,130516.55,1,1,0,60,0,0,13.122349377306328,False,True,False,False
27,121953.96,1,0,0,42,3,1,13.458831328302072,False,True,False,False
17,257725.05,1,1,0,55,1,0,13.592358256611783,False,True,False,False
17,100000.0,1,0,1,62,3,0,14.10319258678548,False,True,False,False
74,100000.0,1,6,1,48,0,3,14.083440771005728,True,True,False,False
29,100000.0,0,0,1,56,1,0,12.948012371209098,False,True,False,False
17,102000.0,1,0,1,26,2,1,13.017005083966255,False,True,False,False
68,100000.0,1,0,1,25,0,0,13.122373377354329,False,False,True,False
27,100000.0,1,0,1,29,0,0,13.304686600863562,False,False,True,False
30,100000.0,1,0,1,64,3,0,14.10319258678548,False,True,False,False
17,100000.36,0,0,0,56,0,3,12.611541086966115,False,False,False,True
60,139464.48,1,1,0,45,3,1,13.017005083966255,False,True,False,False
22,120000.0,1,5,1,72,0,1,13.208096151615411,False,False,False,True
27,199900.0,0,3,1,57,3,3,13.753631962751733,False,True,False,False
51,100000.0,0,0,1,33,3,3,12.429204196772384,False,True,False,False
90,100000.35,1,1,0,73,0,0,12.899212326061994,False,True,False,False
12,250000.0,1,0,1,30,0,0,13.304686600863562,False,False,True,False
46,100000.0,1,0,1,49,1,0,14.508660238521095,False,True,False,False
17,150000.14,1,0,0,48,0,0,14.151977794572987,False,True,False,False
12,100000.0,1,0,1,47,2,3,13.990304687967647,False,True,False,False
54,100000.0,1,0,1,29,0,2,12.206097645217678,False,False,True,False
58,120000.0,1,0,1,36,1,1,13.50079570352709,False,True,False,False
17,1196392.6,1,0,0,40,0,3,14.508654238518094,False,False,True,False
9,100000.0,1,0,1,26,0,0,13.199326270390594,False,False,True,False
37,100000.0,1,0,1,48,3,3,12.765702719077842,False,True,False,False
27,100000.0,1,0,1,23,0,0,13.017005083966255,False,False,True,False
28,100000.0,0,0,1,66,3,0,12.611541086966115,False,True,False,False
12,108000.84,1,4,1,55,3,1,14.220976332738882,False,True,False,False
96,100512.0,1,0,0,47,0,3,14.10319258678548,False,True,False,False
22,100000.0,0,0,1,38,3,0,12.736692073024004,False,True,False,False
22,103089.98,0,0,0,60,0,0,12.994514096676983,False,False,False,False
22,199987.32,1,0,0,27,2,1,12.765668433265594,False,True,False,False
12,1000000.0,1,1,1,50,1,3,15.250595321348806,False,True,False,False
22,250000.0,1,0,1,45,3,0,13.815507557959775,False,True,False,False
77,117714.8,1,5,0,67,0,0,13.208096151615411,False,True,False,False
44,394700.0,1,0,1,50,1,0,13.815507557959775,False,True,False,False
12,100000.0,0,0,1,33,2,0,12.611541086966115,False,True,False,False
44,337500.0,1,0,1,50,0,0,13.815507557959775,False,False,True,False
12,10000000.0,1,1,1,17,0,0,14.305057881554688,False,True,False,False
67,203030.94,1,0,0,38,1,3,13.815507557959775,False,True,False,False
17,155000.22,0,0,0,41,2,0,13.122349377306328,False,True,False,False
74,200000.0,1,0,1,19,0,0,12.899212326061994,False,False,True,False
12,100000.0,1,0,1,38,1,0,14.731800089837709,False,True,False,False
22,100000.0,1,0,1,20,0,0,12.611541086966115,False,False,True,False
12,100000.0,1,0,1,55,1,0,13.815507557959775,False,True,False,False
22,309270.18,1,1,0,49,3,0,15.201804169083884,False,True,False,False
27,135000.0,1,0,1,36,3,0,13.384735334149926,False,True,False,False
12,150009.0,0,0,1,42,1,0,12.821250176479428,False,True,False,False
32,128973.84,1,1,0,43,3,1,13.458831328302072,False,True,False,False
22,150000.11,1,0,0,34,2,0,13.815507557959775,False,True,False,False
12,100002.0,1,0,1,52,1,0,15.096444681204078,False,True,False,False
22,100000.0,1,0,1,37,2,0,13.997832948091215,False,True,False,False
12,100000.0,1,0,1,23,3,3,14.10319258678548,False,True,False,False
17,149800.0,1,4,1,26,0,3,12.542534167808274,False,False,True,False
12,100000.0,1,1,1,35,1,0,14.731800089837709,False,True,False,False
39,100000.0,1,0,1,56,1,0,13.122373377354329,False,True,False,False
17,100004.0,1,0,1,37,2,2,13.217668102648323,False,True,False,False
17,100000.0,0,0,1,22,0,0,13.304686600863562,False,False,True,False
42,150000.0,1,0,1,53,3,0,13.122373377354329,False,True,False,False
12,160001.28,1,0,1,26,0,1,13.592373256630534,False,False,True,False
17,120887.46,1,0,0,57,1,0,13.122349377306328,False,True,False,False
73,100514.19,1,0,0,29,0,0,12.899212326061994,False,False,True,False
12,100515.21,1,0,0,52,2,0,14.151977794572987,False,True,False,False
19,100000.0,1,0,1,27,3,0,12.524544558301603,False,True,False,False
12,300000.0,1,0,1,72,0,0,13.815507557959775,False,True,False,False
17,100000.13,1,1,0,38,3,0,13.1421679654829,False,True,False,False
